video_cluster_code,trigger_code,name,description,is_published,cluster_search_keywords
CLUST_AD_ALLERGY_ACUTE_URTICARIA_BASIC,AD_ALLERGY_ACUTE_URTICARIA,Acute allergy – hives & swelling (basic pack),Home care for hives and emergency signs of severe allergy.,FALSE,acute allergy pack|hives pack|anaphylaxis warning education
CLUST_AD_ASTHMA_ACUTE_WHEEZE_BASIC,AD_ASTHMA_ACUTE_WHEEZE,Acute wheeze / asthma attack (basic pack),Using nebuliser/inhaler during attack and preventing next episode.,FALSE,asthma attack pack|acute wheeze pack|nebuliser education
CLUST_AD_BRONCHIOLITIS_INFANT_BASIC,AD_BRONCHIOLITIS_INFANT,Bronchiolitis in babies (basic pack),"Bronchiolitis explanation, home care and danger signs.",FALSE,bronchiolitis pack|RSV pack|infant wheeze education
CLUST_AD_CROUP_BASIC,AD_CROUP,Croup (basic pack),"What croup is, home care and emergency warning signs.",FALSE,croup pack|barking cough pack|stridor education
CLUST_AD_DENGUE_CONFIRMED_BASIC,AD_DENGUE_CONFIRMED,Dengue fever (basic pack),"Dengue explanation, fluids, platelet myths and warning signs.",FALSE,dengue pack|platelet education|dengue warning signs
CLUST_AD_DIARRHEA_ACUTE_WATERY_BASIC,AD_DIARRHEA_ACUTE_WATERY,Loose motions – ORS & zinc (basic pack),"Viral diarrhea explanation, ORS and zinc use and feeding advice.",FALSE,diarrhea pack|ORS pack|loose motions education
CLUST_AD_DIARRHEA_BLOODY_BASIC,AD_DIARRHEA_BLOODY,Bloody diarrhea (basic pack),"Dysentery explanation, antibiotic role and admission warning signs.",FALSE,bloody diarrhea pack|dysentery pack|blood in stool education
CLUST_AD_EAR_ACUTE_OM_BASIC,AD_EAR_ACUTE_OM,Acute ear infection (basic pack),"Pain relief, ear care and antibiotic follow-up for first ear infection.",FALSE,ear infection pack|ear pain education|acute otitis pack
CLUST_AD_FEVER_BACTERIAL_THROAT_AB_BASIC,AD_FEVER_BACTERIAL_THROAT_AB,Tonsillitis – antibiotic course (basic pack),"2 videos on bacterial throat infection, antibiotic use and course completion.",FALSE,tonsillitis pack|sore throat pack|antibiotic course throat
CLUST_AD_FEVER_VIRAL_NO_AB_BASIC,AD_FEVER_VIRAL_NO_AB,Fever – no antibiotic needed (basic pack),"2 short videos explaining viral fever, why antibiotics are not needed and home care for fever.",FALSE,fever pack|viral fever pack|cold and cough education|no antibiotic education
CLUST_AD_HEAD_INJURY_MILD_BASIC,AD_HEAD_INJURY_MILD,Mild head injury (basic pack),Hospital checks explained and home observation red flags.,FALSE,head injury pack|minor head trauma pack|observation education
CLUST_AD_LUNG_PNEUMONIA_HOME_BASIC,AD_LUNG_PNEUMONIA_HOME,Pneumonia at home (basic pack),"Chest infection diagnosis, home care and breathing danger signs.",FALSE,pneumonia pack|chest infection pack|home care pneumonia
CLUST_AD_MALARIA_CONFIRMED_BASIC,AD_MALARIA_CONFIRMED,Malaria (basic pack),"Malaria diagnosis, treatment, fever monitoring and danger signs.",FALSE,malaria pack|antimalarial pack|fever monitoring pack
CLUST_AD_NEWBORN_JAUNDICE_PHOTO_BASIC,AD_NEWBORN_JAUNDICE_PHOTO,Newborn jaundice – phototherapy (basic pack),Why phototherapy is needed and how to care during and after treatment.,FALSE,newborn jaundice pack|phototherapy pack|bilirubin education
CLUST_AD_NEWBORN_SEPSIS_BASIC,AD_NEWBORN_SEPSIS,Newborn serious infection / sepsis (basic pack),"Explains sepsis, NICU care and parent role.",FALSE,newborn sepsis pack|NICU pack|IV antibiotics education
CLUST_AD_SEIZURE_FEBRILE_SIMPLE_BASIC,AD_SEIZURE_FEBRILE_SIMPLE,Febrile seizure (basic pack),What febrile seizures are and first aid during an episode.,FALSE,febrile seizure pack|fits with fever education|seizure first aid pack
CLUST_AD_SKIN_BACTERIAL_INFECTION_BASIC,AD_SKIN_BACTERIAL_INFECTION,Boils & skin infection (basic pack),Cleaning and dressing plus when drainage or admission is needed.,FALSE,boils pack|skin infection pack|wound care education
CLUST_AD_TYPHOID_CONFIRMED_BASIC,AD_TYPHOID_CONFIRMED,Typhoid (basic pack),"Typhoid diagnosis, long antibiotic course and diet advice.",FALSE,typhoid pack|enteric fever pack|long antibiotic pack
CLUST_AD_UTI_ACUTE_BASIC,AD_UTI_ACUTE,Urine infection (basic pack),"UTI explanation, antibiotic course, tests and prevention.",FALSE,UTI pack|urine infection pack|antibiotic education UTI
CLUST_AD_VOMITING_GASTROENTERITIS_BASIC,AD_VOMITING_GASTROENTERITIS,Vomiting & gastroenteritis (basic pack),Safe fluids at home and dehydration danger signs.,FALSE,vomiting pack|gastroenteritis pack|dehydration education
CLUST_CC_ADHD_MED_SCHOOL_BASIC,CC_ADHD_MED_SCHOOL,ADHD – medicines & school plan (basic pack),"Medicines, school supports and home behaviour strategies.",FALSE,ADHD pack|medicine pack|school plan pack
CLUST_CC_ASTHMA_ACTION_PLAN_BASIC,CC_ASTHMA_ACTION_PLAN,Asthma action plan – zones & emergency (basic pack),Explains green/yellow/red zones and reinforces what to do during an attack.,FALSE,asthma action plan pack|symptom zones pack|emergency asthma pack
CLUST_CC_ASTHMA_CONTROLLER_BASIC,CC_ASTHMA_CONTROLLER,Asthma – daily controller & school routine (basic pack),Why daily controller inhaler is needed and how to fit doses around school and play.,FALSE,asthma controller pack|daily inhaler pack|school and sports asthma
CLUST_CC_ATOPIC_DERM_CHRONIC_BASIC,CC_ATOPIC_DERM_CHRONIC,Eczema – daily care & flares (basic pack),Daily moisturising plus safe steroid use during flares.,FALSE,eczema pack|moisturiser pack|steroid cream pack
CLUST_CC_AUTISM_THERAPY_BASIC,CC_AUTISM_THERAPY,Autism – therapies & daily routine (basic pack),How therapies help and building a supportive daily routine.,FALSE,autism pack|therapy pack|routine pack
CLUST_CC_CELIAC_GFD_BASIC,CC_CELIAC_GFD,Celiac disease – gluten-free life (basic pack),Gluten-free basics and reading labels to avoid hidden gluten.,FALSE,celiac pack|gluten free pack|label reading pack
CLUST_CC_CHD_STABLE_BASIC,CC_CHD_STABLE,Heart disease – activity & follow-up (basic pack),"Safe activity, follow-up visits and dental care.",FALSE,CHD pack|heart activity pack|endocarditis pack
CLUST_CC_CHRONIC_GROWTH_NUTRITION_BASIC,CC_CHRONIC_GROWTH_NUTRITION,Chronic illness – growth & nutrition (basic pack),Understanding the growth chart and using a high-energy diet.,FALSE,growth chart pack|chronic nutrition pack|high energy diet pack
CLUST_CC_CKD_BP_BASIC,CC_CKD_BP,High BP / kidney disease – BP & lifestyle (basic pack),"BP monitoring, medicines and salt/fluid lifestyle advice.",FALSE,child BP pack|kidney BP pack|salt restriction pack
CLUST_CC_EPILEPSY_LONG_TERM_BASIC,CC_EPILEPSY_LONG_TERM,"Epilepsy – medicines, lifestyle & first aid (basic pack)","Understanding epilepsy, daily medicines and seizure first aid.",FALSE,epilepsy pack|AED pack|seizure first aid pack
CLUST_CC_IBD_CHRONIC_BASIC,CC_IBD_CHRONIC,"IBD – medicines, nutrition & growth (basic pack)","Maintenance medicines, nutrition and growth/school issues.",FALSE,IBD pack|IBD medicines pack|IBD nutrition pack
CLUST_CC_JIA_ARTHRITIS_BASIC,CC_JIA_ARTHRITIS,Juvenile arthritis – medicines & movement (basic pack),JIA medicines and importance of physiotherapy and activity.,FALSE,JIA pack|arthritis medicines pack|physiotherapy pack
CLUST_CC_NEPHROTIC_STEROIDS_BASIC,CC_NEPHROTIC_STEROIDS,Nephrotic syndrome – steroids & relapse (basic pack),"Steroid course, side effects and home urine monitoring.",FALSE,nephrotic pack|steroid course pack|urine dipstick pack
CLUST_CC_SICKLE_DAILY_BASIC,CC_SICKLE_DAILY,Sickle cell – daily care & crises (basic pack),Daily care to prevent crises and how to identify a serious crisis.,FALSE,sickle pack|crisis prevention pack|sickle emergency pack
CLUST_CC_T1D_DAILY_BASIC,CC_TYPE1_DIABETES_DAILY,Type 1 diabetes – daily routine (basic pack),"Daily insulin, sugar checks, food and school routine.",FALSE,type 1 diabetes daily pack|insulin routine pack|school diabetes pack
CLUST_CC_T1D_SICK_DAY_BASIC,CC_TYPE1_DIABETES_SICK_DAY,Type 1 diabetes – sick day & low sugar (basic pack),Sick day rules and recognising/treating low sugar.,FALSE,diabetes sick day pack|hypoglycaemia pack
CLUST_CC_THALASSEMIA_TRANSFUSION_BASIC,CC_THALASSEMIA_TRANSFUSION,Thalassemia – transfusions & chelation (basic pack),Explains need for regular transfusions and chelation.,FALSE,thalassemia pack|transfusion pack|chelation pack
CLUST_DRG_ABX_SHORT_COURSE_BASIC,DRG_ABX_SHORT_COURSE,Antibiotic course – safe use (basic pack),Why to complete antibiotic courses and how to measure and give doses safely.,FALSE,antibiotic pack|antibiotic course pack|safe antibiotic use
CLUST_DRG_ANTIPYRETIC_SAFE_BASIC,DRG_ANTIPYRETIC_SAFE,Fever medicines – safe dosing (basic pack),Paracetamol/ibuprofen safe dosing plus general fever care video.,FALSE,fever medicine pack|paracetamol ibuprofen pack|fever care pack
CLUST_DRG_COUGH_ALLERGY_SYRUP_BASIC,DRG_COUGH_ALLERGY_SYRUP,Cough & allergy syrups – safe or not? (basic pack),"When these syrups are useful, age limits and when to avoid combinations.",FALSE,cough syrup pack|allergy syrup pack|OTC cough medicine pack
CLUST_DRG_INHALER_DEVICE_BASIC,DRG_INHALER_DEVICE,Inhaler + spacer – technique & care (basic pack),How to use inhaler with spacer and how to clean and store devices.,FALSE,inhaler pack|spacer pack|inhaler care pack
CLUST_DRG_INSULIN_TECHNIQUE_BASIC,DRG_INSULIN_TECHNIQUE,Insulin pen – technique & storage (basic pack),Insulin injection technique plus safe storage and handling.,FALSE,insulin pen pack|injection technique pack|insulin storage pack
CLUST_DRG_IRON_SUPPLEMENT_BASIC,DRG_IRON_SUPPLEMENT,Iron medicine – giving and side effects (basic pack),How to give iron medicine and what side effects to expect.,FALSE,iron pack|anemia medicine pack|iron side effects pack
CLUST_DRG_LAXATIVE_CONSTIPATION_BASIC,DRG_LAXATIVE_CONSTIPATION,Laxatives for constipation – safe use (basic pack),"How laxatives work, duration of use and tapering with toilet training.",FALSE,laxative pack|constipation medicine pack|stool softener pack
CLUST_DRG_NEBULISER_HOME_BASIC,DRG_NEBULISER_HOME,Home nebuliser – use & cleaning (basic pack),"Nebuliser set-up, dosing and cleaning to prevent infection.",FALSE,nebuliser pack|home neb pack|neb cleaning pack
CLUST_DRG_ORAL_STEROIDS_SHORT_BASIC,DRG_ORAL_STEROIDS_SHORT,Steroid tablets – short course & taper (basic pack),"Why short courses are prescribed, side effects and tapering rules.",FALSE,steroid tablet pack|short course steroid pack|tapering pack
CLUST_DRG_ORS_ZINC_GENERIC_BASIC,DRG_ORS_ZINC_GENERIC,ORS & zinc – how to give (basic pack),ORS/zinc basics from diarrhea pack plus common mistakes to avoid.,FALSE,ORS pack|zinc pack|loose motion medicine pack
CLUST_DRG_TOPICAL_STEROID_CREAM_BASIC,DRG_TOPICAL_STEROID_CREAM,Skin creams – steroid & antifungal (basic pack),How to apply steroid/antifungal creams and why to avoid strong combo creams.,FALSE,steroid cream pack|antifungal cream pack|combination cream pack
CLUST_DRG_VITD_CALCIUM_MULTI_BASIC,DRG_VITD_CALCIUM_MULTI,Vitamin D / calcium / multivitamins – safe use (basic pack),Correct use of supplements and realistic expectations from tonics.,FALSE,vitamin D pack|calcium pack|multivitamin pack
CLUST_PV_DEV_MENTAL_WELLBEING_BASIC,PV_DEV_MENTAL_WELLBEING,Exam stress & mood – early help (basic pack),Understanding exam stress and early emotional warning signs.,FALSE,exam stress pack|teen mood pack|mental health early signs pack
CLUST_PV_DEV_PUBERTY_BASIC,PV_DEV_PUBERTY,Puberty & periods – teen education (basic pack),Body changes in puberty and menstrual hygiene for teens.,FALSE,puberty pack|period education pack
CLUST_PV_DEV_SCREEN_BASIC,PV_DEV_SCREEN,Screen time – healthy rules (basic pack),Age-wise screen limits and practical steps to reduce screen time.,FALSE,screen time pack|digital hygiene pack
CLUST_PV_DEV_SLEEP_BASIC,PV_DEV_SLEEP,Sleep routine – age-wise guidance (basic pack),How much sleep children need and simple bedtime routine ideas.,FALSE,sleep routine pack|bedtime pack
CLUST_PV_DEV_TOILET_BASIC,PV_DEV_TOILET,Toilet training – gentle approach (basic pack),Starting toilet training when ready and handling accidents kindly.,FALSE,toilet training pack|potty training pack
CLUST_PV_GROWTH_WELLCHILD_BASIC,PV_GROWTH_WELLCHILD,Growth chart – well-child check (basic pack),Understanding growth curves and when extra nutrition may be needed.,FALSE,growth chart pack|healthy growth pack
CLUST_PV_NUTR_BF_EXCL_BASIC,PV_NUTR_BF_EXCL,Exclusive breastfeeding 0–6 months (basic pack),What exclusive breastfeeding means and basic technique and support.,FALSE,exclusive breastfeeding pack|BF basics pack
CLUST_PV_NUTR_COMPLEMENTARY_BASIC,PV_NUTR_COMPLEMENTARY,Starting solids at 6 months (basic pack),"What to start with, texture progression and choking prevention.",FALSE,starting solids pack|weaning pack
CLUST_PV_NUTR_IRON_DIET_BASIC,PV_NUTR_IRON_DIET,Iron-rich diet & iron medicine (basic pack),Iron-rich foods and correct use of iron medicines when prescribed.,FALSE,iron diet pack|anemia prevention pack
