video_code,title,description,primary_trigger_code,primary_therapy_area,is_published,video_search_keywords
VID_AD_ALLERGY_ACUTE_URTICARIA_01,Sudden hives & allergy: home care,"Explains hives, common triggers, use of antihistamine and when child can stay at home.",AD_ALLERGY_ACUTE_URTICARIA,Skin & allergy,False,hives|urticaria|allergy rash|itchy red bumps|antihistamine syrup|food or medicine allergy
VID_AD_ALLERGY_ACUTE_URTICARIA_02,Acute allergy: breathing or facial swelling – emergency signs,"Shows parents which symptoms like breathing difficulty, voice change or swelling of lips/tongue need immediate ER visit.",AD_ALLERGY_ACUTE_URTICARIA,Skin & allergy,False,acute allergy emergency|anaphylaxis signs|lip swelling|breathing trouble|voice change|rush to hospital
VID_AD_ASTHMA_ACUTE_WHEEZE_01,Acute wheezing episode: using nebuliser or inhaler,Demonstrates correct nebuliser / inhaler + spacer use during an attack and how often to repeat as advised.,AD_ASTHMA_ACUTE_WHEEZE,Breathing & chest problems,False,wheeze attack|nebuliser use|inhaler spacer|reliever dose|acute asthma treatment
VID_AD_ASTHMA_ACUTE_WHEEZE_02,After an asthma attack: preventing the next one,"Covers triggers, follow-up with doctor, need for controller medicines and when to seek emergency help next time.",AD_ASTHMA_ACUTE_WHEEZE,Breathing & chest problems,False,asthma follow up|trigger control|controller medicine|emergency plan|next attack prevention
VID_AD_BRONCHIOLITIS_INFANT_01,Bronchiolitis in babies: what parents need to know,"Explains bronchiolitis, noisy breathing, feeding difficulty and typical course of illness.",AD_BRONCHIOLITIS_INFANT,Breathing & chest problems,False,bronchiolitis|RSV baby|cold and fast breathing|wheezy baby|course of illness
VID_AD_BRONCHIOLITIS_INFANT_02,Bronchiolitis: home care and danger signs,"Shows positioning, saline drops, feeding tips and when breathing or feeding problems need urgent care.",AD_BRONCHIOLITIS_INFANT,Breathing & chest problems,False,bronchiolitis home care|saline drops|breastfeeding|fast breathing signs|when to admit
VID_AD_CROUP_01,Croup: barking cough & noisy breathing explained,"Explains what croup is, how it differs from simple cold and what treatment was given.",AD_CROUP,Breathing & chest problems,False,croup|barking cough|stridor|noisy breathing child|steroid dose
VID_AD_CROUP_02,Croup: night-time care and emergency warning signs,"Shows how to keep child calm, when to sit them upright and danger signs that need ER visit.",AD_CROUP,Breathing & chest problems,False,croup night care|keep child calm|cool air|emergency signs|blue lips|stridor at rest
VID_AD_DENGUE_CONFIRMED_01,"Dengue fever: fluids, platelet myths and home care","Explains dengue, importance of fluids, what platelet counts really mean and common myths about papaya leaf etc.",AD_DENGUE_CONFIRMED,Fever & common infections,False,dengue|platelet count|papaya leaf myth|fluids|ORS|rest at home
VID_AD_DENGUE_CONFIRMED_02,Dengue warning signs: when to go to emergency,"Shows parents danger signs like severe stomach pain, vomiting, bleeding, breathing trouble and when to reach hospital quickly.",AD_DENGUE_CONFIRMED,Fever & common infections,False,dengue warning signs|bleeding|persistent vomiting|severe pain|drowsy child|emergency
VID_AD_DIARRHEA_ACUTE_WATERY_01,Loose motions: ORS and zinc instead of antibiotics,"Explains viral diarrhea, correct ORS use, zinc and why antibiotics are usually not needed.",AD_DIARRHEA_ACUTE_WATERY,Stomach & digestion,False,watery diarrhea|loose motions|ORS|zinc|no antibiotic|viral stomach infection
VID_AD_DIARRHEA_ACUTE_WATERY_02,What to feed during diarrhea and how to prevent dehydration,"Shows practical diet examples, breastfeeding, continued feeds and early dehydration signs to watch for.",AD_DIARRHEA_ACUTE_WATERY,Stomach & digestion,False,diarrhea diet|khichdi|curd rice|continue breastfeeding|dehydration signs|thirst
VID_AD_DIARRHEA_BLOODY_01,Blood in stools: serious diarrhea needing antibiotics,"Explains dysentery, why blood in stools is serious and role of antibiotics plus ORS.",AD_DIARRHEA_BLOODY,Stomach & digestion,False,bloody stool|dysentery|blood and mucus|antibiotic for dysentery|stomach cramps
VID_AD_DIARRHEA_BLOODY_02,Bloody diarrhea: danger signs and when to admit,"Describes high-risk signs like persistent blood, severe pain and poor drinking that need hospital admission.",AD_DIARRHEA_BLOODY,Stomach & digestion,False,bloody diarrhea danger|severe abdominal pain|persistent blood|unable to drink|hospital admission
VID_AD_EAR_ACUTE_OM_01,First ear infection: pain relief and ear care,"Explains what an ear infection is, safe pain relief, correct position and ear care at home.",AD_EAR_ACUTE_OM,Breathing & chest problems,False,ear infection|ear pain|kan dard|pain relief|paracetamol|warm compress|ear care
VID_AD_EAR_ACUTE_OM_02,Ear infection antibiotics and follow-up,"Talks about antibiotic course, when ear drops are used, follow-up visit and when to worry about hearing.",AD_EAR_ACUTE_OM,Breathing & chest problems,False,ear infection antibiotic|ear drops|follow-up|hearing loss|perforated eardrum
VID_AD_FEVER_BACTERIAL_THROAT_AB_01,Sore throat / tonsillitis: what it is and how the antibiotic works,"Describes bacterial throat infection, why antibiotics are needed and what improvement to expect.",AD_FEVER_BACTERIAL_THROAT_AB,Fever & common infections,False,throat infection|tonsillitis|bacterial throat|antibiotic needed|throat pain|swollen tonsils
VID_AD_FEVER_BACTERIAL_THROAT_AB_02,"Tonsillitis antibiotic course: dose, duration and side effects","Covers full antibiotic course, common side effects, what to do if a dose is missed and why not to stop early.",AD_FEVER_BACTERIAL_THROAT_AB,Fever & common infections,False,antibiotic course|10 day treatment|missed dose|stomach upset|allergy signs|stop medicine early risk
VID_AD_FEVER_VIRAL_NO_AB_01,Viral fever & cold: why antibiotics are not needed,Explains difference between viral and bacterial infections and why simple cold and viral fever get better without antibiotics.,AD_FEVER_VIRAL_NO_AB,Fever & common infections,False,viral fever|common cold|sardi bukhar|no antibiotic|self limiting illness|immune system|antibiotic resistance
VID_AD_FEVER_VIRAL_NO_AB_02,Caring for a child with fever at home,"Shows parents how to measure temperature, give paracetamol correctly, keep the child comfortable and when to repeat the dose.",AD_FEVER_VIRAL_NO_AB,Fever & common infections,False,home care fever|paracetamol dose|temperature measurement|cold sponging|fluids for fever|when to repeat medicine
VID_AD_HEAD_INJURY_MILD_01,Mild head injury: what checks were done in hospital,"Explains what the doctor checked (consciousness, pupils, exam) and why CT scan was or was not needed.",AD_HEAD_INJURY_MILD,Safety & first aid,False,minor head injury|fell from bed|doctor check|no CT|observation advice
VID_AD_HEAD_INJURY_MILD_02,Head injury at home: observation and red-flag symptoms,"Guides parents on waking child, monitoring behaviour, vomiting and when to return urgently.",AD_HEAD_INJURY_MILD,Safety & first aid,False,head injury observation|vomiting|sleepiness|behaviour change|fits after fall|emergency signs
VID_AD_LUNG_PNEUMONIA_HOME_01,Pneumonia at home: oral antibiotics and breathing care,"Explains pneumonia diagnosis, oral antibiotic plan and simple breathing care like positioning and avoiding smoke.",AD_LUNG_PNEUMONIA_HOME,Breathing & chest problems,False,pneumonia|chest infection|oral antibiotic|home care|positioning|avoid smoke
VID_AD_LUNG_PNEUMONIA_HOME_02,Pneumonia: breathing warning signs and when to rush,"Lists red-flag breathing signs, poor feeding and lethargy that need urgent hospital visit or admission.",AD_LUNG_PNEUMONIA_HOME,Breathing & chest problems,False,pneumonia danger signs|fast breathing|chest pulling|blue lips|poor feeding|emergency visit
VID_AD_MALARIA_CONFIRMED_01,Malaria in children: diagnosis and treatment,"Explains what malaria is, test results, antimalarial medicines and how quickly fever should respond.",AD_MALARIA_CONFIRMED,Fever & common infections,False,malaria|malarial parasite|ACT|quinine|fever pattern|mosquito bite
VID_AD_MALARIA_CONFIRMED_02,Malaria: fever monitoring and when to seek urgent help,"Guides parents on keeping a fever chart, finishing medicines and red flags like confusion or breathing difficulty.",AD_MALARIA_CONFIRMED,Fever & common infections,False,malaria fever chart|finish medicines|recurrence|vomiting medicine|confusion|emergency signs
